epi,ryu,taek
1,2.655,0
2,6.375,1.669
3,10.755,0.6
4,12.805,17.404
5,8.496,1.336
6,7.43,6.1
7,39.547,20.401
8,2.568,2.232
9,16.001,21.573
10,28.644,15.393
11,20.134,32
12,11.6,26.795
13,13.909,11.672
14,24.936,18.193
15,3.501,6
16,3.002,39
17,3.81,10.908
18,34.807,11.57
19,0.942,41.941
20,1.396,41.374
