episode,A,B,C
8,100,0,0
9,85,15,0
10,94,6,0
11,50,50,0
12,53,42,5
13,100,0,0
14,78,22,0
15,20,80,0
16,44,33,23
17,50,50,0
18,100,0,0
19,72,24,4
20,90,10,0
